Linux-aarch64-AWS, native, floyd-warshall, calling, timestamp, 1696846258192081
Linux-aarch64-AWS, native, floyd-warshall, starting, timestamp, 1696846258193287
Linux-aarch64-AWS, native, floyd-warshall, main, timestamp, 1696846258194503
Linux-aarch64-AWS, native, floyd-warshall, start, timestamp, 1696846258237738
Linux-aarch64-AWS, native, floyd-warshall, end, timestamp, 1696846289567679
Linux-aarch64-AWS, native, floyd-warshall, accumulated, elapsed time, 31329941
Linux-aarch64-AWS, wasmtime, floyd-warshall, calling, timestamp, 1696846300795748
Linux-aarch64-AWS, wasmtime, floyd-warshall, starting, timestamp, 1696846300798762
Linux-aarch64-AWS, wasmtime, floyd-warshall, main, timestamp, 1696846300863925
Linux-aarch64-AWS, wasmtime, floyd-warshall, start, timestamp, 1696846300967675
Linux-aarch64-AWS, wasmtime, floyd-warshall, end, timestamp, 1696846334079871
Linux-aarch64-AWS, wasmtime, floyd-warshall, accumulated, elapsed time, 33112196
Linux-aarch64-AWS, iwasm, floyd-warshall, calling, timestamp, 1696846364009679
Linux-aarch64-AWS, iwasm, floyd-warshall, starting, timestamp, 1696846364011063
Linux-aarch64-AWS, iwasm, floyd-warshall, main, timestamp, 1696846364016831
Linux-aarch64-AWS, iwasm, floyd-warshall, start, timestamp, 1696846364462155
Linux-aarch64-AWS, iwasm, floyd-warshall, end, timestamp, 1696847036802795
Linux-aarch64-AWS, iwasm, floyd-warshall, accumulated, elapsed time, 672340640
Linux-aarch64-AWS, native, deriche, calling, timestamp, 1696846131675017
Linux-aarch64-AWS, native, deriche, starting, timestamp, 1696846131676197
Linux-aarch64-AWS, native, deriche, main, timestamp, 1696846131677466
Linux-aarch64-AWS, native, deriche, start, timestamp, 1696846131701219
Linux-aarch64-AWS, native, deriche, end, timestamp, 1696846131983750
Linux-aarch64-AWS, native, deriche, accumulated, elapsed time, 282531
Linux-aarch64-AWS, wasmtime, deriche, calling, timestamp, 1696846147410210
Linux-aarch64-AWS, wasmtime, deriche, starting, timestamp, 1696846147413136
Linux-aarch64-AWS, wasmtime, deriche, main, timestamp, 1696846147483815
Linux-aarch64-AWS, wasmtime, deriche, start, timestamp, 1696846147502332
Linux-aarch64-AWS, wasmtime, deriche, end, timestamp, 1696846147794021
Linux-aarch64-AWS, wasmtime, deriche, accumulated, elapsed time, 291689
Linux-aarch64-AWS, iwasm, deriche, calling, timestamp, 1696846198030698
Linux-aarch64-AWS, iwasm, deriche, starting, timestamp, 1696846198032088
Linux-aarch64-AWS, iwasm, deriche, main, timestamp, 1696846198037946
Linux-aarch64-AWS, iwasm, deriche, start, timestamp, 1696846198168686
Linux-aarch64-AWS, iwasm, deriche, end, timestamp, 1696846199741668
Linux-aarch64-AWS, iwasm, deriche, accumulated, elapsed time, 1572982
Linux-aarch64-AWS, native, nussinov, calling, timestamp, 1696847069120076
Linux-aarch64-AWS, native, nussinov, starting, timestamp, 1696847069121283
Linux-aarch64-AWS, native, nussinov, main, timestamp, 1696847069122480
Linux-aarch64-AWS, native, nussinov, start, timestamp, 1696847069129367
Linux-aarch64-AWS, native, nussinov, end, timestamp, 1696847074487737
Linux-aarch64-AWS, native, nussinov, accumulated, elapsed time, 5358370
Linux-aarch64-AWS, wasmtime, nussinov, calling, timestamp, 1696847079025687
Linux-aarch64-AWS, wasmtime, nussinov, starting, timestamp, 1696847079028633
Linux-aarch64-AWS, wasmtime, nussinov, main, timestamp, 1696847079091868
Linux-aarch64-AWS, wasmtime, nussinov, start, timestamp, 1696847079098533
Linux-aarch64-AWS, wasmtime, nussinov, end, timestamp, 1696847086029263
Linux-aarch64-AWS, wasmtime, nussinov, accumulated, elapsed time, 6930730
Linux-aarch64-AWS, iwasm, nussinov, calling, timestamp, 1696847104326241
Linux-aarch64-AWS, iwasm, nussinov, starting, timestamp, 1696847104327655
