Linux-aarch64, native, floyd-warshall, calling, timestamp, 1696920088500946
Linux-aarch64, native, floyd-warshall, starting, timestamp, 1696920088502165
Linux-aarch64, native, floyd-warshall, main, timestamp, 1696920088503363
Linux-aarch64, native, floyd-warshall, start, timestamp, 1696920088546681
Linux-aarch64, native, floyd-warshall, end, timestamp, 1696920119872102
Linux-aarch64, native, floyd-warshall, accumulated, elapsed time, 31325421
Linux-aarch64, wasmtime, floyd-warshall, calling, timestamp, 1696920131236196
Linux-aarch64, wasmtime, floyd-warshall, starting, timestamp, 1696920131239130
Linux-aarch64, wasmtime, floyd-warshall, main, timestamp, 1696920131262874
Linux-aarch64, wasmtime, floyd-warshall, start, timestamp, 1696920131366904
Linux-aarch64, wasmtime, floyd-warshall, end, timestamp, 1696920164425177
Linux-aarch64, wasmtime, floyd-warshall, accumulated, elapsed time, 33058273
Linux-aarch64, iwasm, floyd-warshall, calling, timestamp, 1696920197380127
WABENCH, iwasm, floyd-warshall, starting, timestamp, 1696920197381451
Linux-aarch64, iwasm, floyd-warshall, main, timestamp, 1696920197387288
Linux-aarch64, iwasm, floyd-warshall, start, timestamp, 1696920197855387
Linux-aarch64, iwasm, floyd-warshall, end, timestamp, 1696920837384308
Linux-aarch64, iwasm, floyd-warshall, accumulated, elapsed time, 639528921
Linux-aarch64, native, deriche, calling, timestamp, 1696919968216012
Linux-aarch64, native, deriche, starting, timestamp, 1696919968217198
Linux-aarch64, native, deriche, main, timestamp, 1696919968218451
Linux-aarch64, native, deriche, start, timestamp, 1696919968242486
Linux-aarch64, native, deriche, end, timestamp, 1696919968532718
Linux-aarch64, native, deriche, accumulated, elapsed time, 290232
Linux-aarch64, wasmtime, deriche, calling, timestamp, 1696919983672856
Linux-aarch64, wasmtime, deriche, starting, timestamp, 1696919983675683
Linux-aarch64, wasmtime, deriche, main, timestamp, 1696919983710888
Linux-aarch64, wasmtime, deriche, start, timestamp, 1696919983729749
Linux-aarch64, wasmtime, deriche, end, timestamp, 1696919984008269
Linux-aarch64, wasmtime, deriche, accumulated, elapsed time, 278520
Linux-aarch64, iwasm, deriche, calling, timestamp, 1696920028444224
WABENCH, iwasm, deriche, starting, timestamp, 1696920028445552
