Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480167832
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480173100
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480178771
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480178771
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480178958
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 187
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480183814
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480188954
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480194272
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480194272
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480194507
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 235
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480199517
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480204790
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480211178
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480211178
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480211408
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 230
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480217263
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480223555
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480230008
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480230008
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480230271
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 263
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480235277
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480240371
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480248143
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480248143
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480248416
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 273
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480254592
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480262006
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480270284
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480270284
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480270660
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 376
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480277445
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480284546
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480291176
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480291176
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480291457
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 281
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480296942
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480303863
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480311137
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480311137
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480311406
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 269
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480316265
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480321867
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480328689
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480328689
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480328910
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 221
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480335334
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480341091
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480347191
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480347191
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480347419
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 228
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480352181
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480359231
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480365622
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480365622
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480365884
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 262
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480372422
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480379596
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480387118
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480387118
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480387347
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 229
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480400188
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480404002
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480407910
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480407910
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480408050
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 140
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480411505
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480414957
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480419370
Linux-aarch64-Jetson, native, calibrate, start, timestamp, 1696843480419370
Linux-aarch64-Jetson, native, calibrate, end, timestamp, 1696843480419600
Linux-aarch64-Jetson, native, calibrate, accumulated, elapsed time, 230
Linux-aarch64-Jetson, native, calibrate, calling, timestamp, 1696843480423244
Linux-aarch64-Jetson, native, calibrate, starting, timestamp, 1696843480427859
Linux-aarch64-Jetson, native, calibrate, main, timestamp, 1696843480433144
