Linux-riscv64, native, symm, calling, timestamp, 1696856870323755
Linux-riscv64, native, symm, starting, timestamp, 1696856870330453
Linux-riscv64, native, symm, main, timestamp, 1696856870336402
Linux-riscv64, native, symm, start, timestamp, 1696856870623075
Linux-riscv64, native, symm, end, timestamp, 1696856947243135
Linux-riscv64, native, symm, accumulated, elapsed time, 76620060
Linux-riscv64, wasmtime, symm, calling, timestamp, 1696856967773688
WABENCH, wasmtime, symm, starting, timestamp, 1696856967796762
Linux-riscv64, wasmtime, symm, main, timestamp, 1696856968129110
Linux-riscv64, wasmtime, symm, start, timestamp, 1696856968450914
Linux-riscv64, wasmtime, symm, end, timestamp, 1696857064405511
Linux-riscv64, wasmtime, symm, accumulated, elapsed time, 95954597
Linux-riscv64, iwasm, symm, calling, timestamp, 1696857124871951
WABENCH, iwasm, symm, starting, timestamp, 1696857124878572
Linux-riscv64, iwasm, symm, main, timestamp, 1696857124930507
Linux-riscv64, iwasm, symm, start, timestamp, 1696857125931664
Linux-riscv64, iwasm, symm, end, timestamp, 1696857453566240
Linux-riscv64, iwasm, symm, accumulated, elapsed time, 327634576
Linux-riscv64, native, trmm, calling, timestamp, 1696859006130571
Linux-riscv64, native, trmm, starting, timestamp, 1696859006137381
Linux-riscv64, native, trmm, main, timestamp, 1696859006143311
Linux-riscv64, native, trmm, start, timestamp, 1696859006309265
Linux-riscv64, native, trmm, end, timestamp, 1696859061340533
Linux-riscv64, native, trmm, accumulated, elapsed time, 55031268
Linux-riscv64, wasmtime, trmm, calling, timestamp, 1696859085127892
WABENCH, wasmtime, trmm, starting, timestamp, 1696859085150814
Linux-riscv64, wasmtime, trmm, main, timestamp, 1696859085447761
Linux-riscv64, wasmtime, trmm, start, timestamp, 1696859085665039
Linux-riscv64, wasmtime, trmm, end, timestamp, 1696859152923040
Linux-riscv64, wasmtime, trmm, accumulated, elapsed time, 67258001
Linux-riscv64, iwasm, trmm, calling, timestamp, 1696859213499185
WABENCH, iwasm, trmm, starting, timestamp, 1696859213505901
Linux-riscv64, iwasm, trmm, main, timestamp, 1696859213557373
Linux-riscv64, iwasm, trmm, start, timestamp, 1696859214174284
Linux-riscv64, iwasm, trmm, end, timestamp, 1696859414410622
Linux-riscv64, iwasm, trmm, accumulated, elapsed time, 200236338
Linux-riscv64, native, syr2k, calling, timestamp, 1696857757851825
Linux-riscv64, native, syr2k, starting, timestamp, 1696857757858542
Linux-riscv64, native, syr2k, main, timestamp, 1696857757864348
Linux-riscv64, native, syr2k, start, timestamp, 1696857758112826
Linux-riscv64, native, syr2k, end, timestamp, 1696857803517558
Linux-riscv64, native, syr2k, accumulated, elapsed time, 45404732
Linux-riscv64, wasmtime, syr2k, calling, timestamp, 1696857830532731
WABENCH, wasmtime, syr2k, starting, timestamp, 1696857830555690
Linux-riscv64, wasmtime, syr2k, main, timestamp, 1696857830844080
Linux-riscv64, wasmtime, syr2k, start, timestamp, 1696857831134097
Linux-riscv64, wasmtime, syr2k, end, timestamp, 1696857893391610
Linux-riscv64, wasmtime, syr2k, accumulated, elapsed time, 62257513
Linux-riscv64, iwasm, syr2k, calling, timestamp, 1696857966798926
WABENCH, iwasm, syr2k, starting, timestamp, 1696857966805635
Linux-riscv64, iwasm, syr2k, main, timestamp, 1696857966859752
Linux-riscv64, iwasm, syr2k, start, timestamp, 1696857967769197
Linux-riscv64, iwasm, syr2k, end, timestamp, 1696858212860725
Linux-riscv64, iwasm, syr2k, accumulated, elapsed time, 245091528
Linux-riscv64, native, syrk, calling, timestamp, 1696858382514942
Linux-riscv64, native, syrk, starting, timestamp, 1696858382521660
Linux-riscv64, native, syrk, main, timestamp, 1696858382527523
Linux-riscv64, native, syrk, start, timestamp, 1696858382770300
Linux-riscv64, native, syrk, end, timestamp, 1696858428211554
Linux-riscv64, native, syrk, accumulated, elapsed time, 45441254
Linux-riscv64, wasmtime, syrk, calling, timestamp, 1696858455102765
WABENCH, wasmtime, syrk, starting, timestamp, 1696858455125985
Linux-riscv64, wasmtime, syrk, main, timestamp, 1696858455146932
Linux-riscv64, wasmtime, syrk, start, timestamp, 1696858455438557
Linux-riscv64, wasmtime, syrk, end, timestamp, 1696858517607122
Linux-riscv64, wasmtime, syrk, accumulated, elapsed time, 62168565
Linux-riscv64, iwasm, syrk, calling, timestamp, 1696858590749177
WABENCH, iwasm, syrk, starting, timestamp, 1696858590755871
Linux-riscv64, iwasm, syrk, main, timestamp, 1696858590811225
Linux-riscv64, iwasm, syrk, start, timestamp, 1696858591719987
Linux-riscv64, iwasm, syrk, end, timestamp, 1696858836824414
Linux-riscv64, iwasm, syrk, accumulated, elapsed time, 245104427
Linux-riscv64, native, gesummv, calling, timestamp, 1696856831664494
Linux-riscv64, native, gesummv, starting, timestamp, 1696856831671240
Linux-riscv64, native, gesummv, main, timestamp, 1696856831677056
Linux-riscv64, native, gesummv, start, timestamp, 1696856831993217
Linux-riscv64, native, gesummv, end, timestamp, 1696856832055471
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62254
Linux-riscv64, native, gesummv, calling, timestamp, 1696856832099779
Linux-riscv64, native, gesummv, starting, timestamp, 1696856832106577
Linux-riscv64, native, gesummv, main, timestamp, 1696856832113416
Linux-riscv64, native, gesummv, start, timestamp, 1696856832430766
Linux-riscv64, native, gesummv, end, timestamp, 1696856832492904
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62138
Linux-riscv64, native, gesummv, calling, timestamp, 1696856832537863
Linux-riscv64, native, gesummv, starting, timestamp, 1696856832544589
Linux-riscv64, native, gesummv, main, timestamp, 1696856832550641
Linux-riscv64, native, gesummv, start, timestamp, 1696856832867332
Linux-riscv64, native, gesummv, end, timestamp, 1696856832929560
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62228
Linux-riscv64, native, gesummv, calling, timestamp, 1696856832974710
Linux-riscv64, native, gesummv, starting, timestamp, 1696856832981529
Linux-riscv64, native, gesummv, main, timestamp, 1696856832987197
Linux-riscv64, native, gesummv, start, timestamp, 1696856833303497
Linux-riscv64, native, gesummv, end, timestamp, 1696856833365799
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62302
Linux-riscv64, native, gesummv, calling, timestamp, 1696856833410788
Linux-riscv64, native, gesummv, starting, timestamp, 1696856833417556
Linux-riscv64, native, gesummv, main, timestamp, 1696856833423393
Linux-riscv64, native, gesummv, start, timestamp, 1696856833740309
Linux-riscv64, native, gesummv, end, timestamp, 1696856833802612
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62303
Linux-riscv64, native, gesummv, calling, timestamp, 1696856833847570
Linux-riscv64, native, gesummv, starting, timestamp, 1696856833854257
Linux-riscv64, native, gesummv, main, timestamp, 1696856833859975
Linux-riscv64, native, gesummv, start, timestamp, 1696856834177590
Linux-riscv64, native, gesummv, end, timestamp, 1696856834240241
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62651
Linux-riscv64, native, gesummv, calling, timestamp, 1696856834285236
Linux-riscv64, native, gesummv, starting, timestamp, 1696856834291930
Linux-riscv64, native, gesummv, main, timestamp, 1696856834297671
Linux-riscv64, native, gesummv, start, timestamp, 1696856834614375
Linux-riscv64, native, gesummv, end, timestamp, 1696856834677243
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62868
Linux-riscv64, native, gesummv, calling, timestamp, 1696856834722424
Linux-riscv64, native, gesummv, starting, timestamp, 1696856834729243
Linux-riscv64, native, gesummv, main, timestamp, 1696856834735026
Linux-riscv64, native, gesummv, start, timestamp, 1696856835051785
Linux-riscv64, native, gesummv, end, timestamp, 1696856835114669
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62884
Linux-riscv64, native, gesummv, calling, timestamp, 1696856835160703
Linux-riscv64, native, gesummv, starting, timestamp, 1696856835167545
Linux-riscv64, native, gesummv, main, timestamp, 1696856835173277
Linux-riscv64, native, gesummv, start, timestamp, 1696856835489965
Linux-riscv64, native, gesummv, end, timestamp, 1696856835552752
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62787
Linux-riscv64, native, gesummv, calling, timestamp, 1696856835598460
Linux-riscv64, native, gesummv, starting, timestamp, 1696856835605252
Linux-riscv64, native, gesummv, main, timestamp, 1696856835610988
Linux-riscv64, native, gesummv, start, timestamp, 1696856835927586
Linux-riscv64, native, gesummv, end, timestamp, 1696856835990101
Linux-riscv64, native, gesummv, accumulated, elapsed time, 62515
Linux-riscv64, wasmtime, gesummv, calling, timestamp, 1696856836080820
WABENCH, wasmtime, gesummv, starting, timestamp, 1696856836103744
