Linux-x86_64, native, cjpeg, calling, timestamp, 1696844148569437
Linux-x86_64, native, cjpeg, starting, timestamp, 1696844148570478
Linux-x86_64, native, cjpeg, main, timestamp, 1696844148571713
Linux-x86_64, native, cjpeg, start, timestamp, 1696844148572240
Linux-x86_64, native, cjpeg, end, timestamp, 1696844148579396
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 7156
Linux-x86_64, wasmtime, cjpeg, calling, timestamp, 1696844148593900
Linux-x86_64, wasmtime, cjpeg, starting, timestamp, 1696844148597190
Linux-x86_64, wasmtime, cjpeg, main, timestamp, 1696844148652294
Linux-x86_64, wasmtime, cjpeg, start, timestamp, 1696844148652398
Linux-x86_64, wasmtime, cjpeg, end, timestamp, 1696844148657182
Linux-x86_64, wasmtime, cjpeg, accumulated, elapsed time, 4784
Linux-x86_64, iwasm, cjpeg, calling, timestamp, 1696844148685313
Linux-x86_64, iwasm, cjpeg, starting, timestamp, 1696844148686528
Linux-x86_64, iwasm, cjpeg, main, timestamp, 1696844148695251
Linux-x86_64, iwasm, cjpeg, start, timestamp, 1696844148695353
Linux-x86_64, iwasm, cjpeg, end, timestamp, 1696844148738806
Linux-x86_64, iwasm, cjpeg, accumulated, elapsed time, 43453
Linux-x86_64, native, djpeg, calling, timestamp, 1696844154108729
Linux-x86_64, native, djpeg, starting, timestamp, 1696844154109765
Linux-x86_64, native, djpeg, main, timestamp, 1696844154110982
Linux-x86_64, native, djpeg, start, timestamp, 1696844154111423
Linux-x86_64, native, djpeg, end, timestamp, 1696844154113698
Linux-x86_64, native, djpeg, accumulated, elapsed time, 2275
Linux-x86_64, wasmtime, djpeg, calling, timestamp, 1696844154122373
Linux-x86_64, wasmtime, djpeg, starting, timestamp, 1696844154125761
Linux-x86_64, wasmtime, djpeg, main, timestamp, 1696844154179720
Linux-x86_64, wasmtime, djpeg, start, timestamp, 1696844154179920
Linux-x86_64, wasmtime, djpeg, end, timestamp, 1696844154183864
Linux-x86_64, wasmtime, djpeg, accumulated, elapsed time, 3944
Linux-x86_64, iwasm, djpeg, calling, timestamp, 1696844154198668
Linux-x86_64, iwasm, djpeg, starting, timestamp, 1696844154200011
Linux-x86_64, iwasm, djpeg, main, timestamp, 1696844154208996
Linux-x86_64, iwasm, djpeg, start, timestamp, 1696844154209192
Linux-x86_64, iwasm, djpeg, end, timestamp, 1696844154240355
Linux-x86_64, iwasm, djpeg, accumulated, elapsed time, 31163
Linux-x86_64, native, bitcount, calling, timestamp, 1696844143032604
Linux-x86_64, native, bitcount, starting, timestamp, 1696844143033602
Linux-x86_64, native, bitcount, main, timestamp, 1696844143034856
Linux-x86_64, native, bitcount, start, timestamp, 1696844143034892
Linux-x86_64, native, bitcount, end, timestamp, 1696844143090016
Linux-x86_64, native, bitcount, accumulated, elapsed time, 55124
Linux-x86_64, wasmtime, bitcount, calling, timestamp, 1696844143098788
Linux-x86_64, wasmtime, bitcount, starting, timestamp, 1696844143102023
Linux-x86_64, wasmtime, bitcount, main, timestamp, 1696844143129856
Linux-x86_64, wasmtime, bitcount, start, timestamp, 1696844143129918
Linux-x86_64, wasmtime, bitcount, end, timestamp, 1696844143219724
Linux-x86_64, wasmtime, bitcount, accumulated, elapsed time, 89806
Linux-x86_64, iwasm, bitcount, calling, timestamp, 1696844143231961
Linux-x86_64, iwasm, bitcount, starting, timestamp, 1696844143233248
Linux-x86_64, iwasm, bitcount, main, timestamp, 1696844143238480
Linux-x86_64, iwasm, bitcount, start, timestamp, 1696844143238527
Linux-x86_64, iwasm, bitcount, end, timestamp, 1696844143896968
Linux-x86_64, iwasm, bitcount, accumulated, elapsed time, 658441
Linux-x86_64, native, basicmath, calling, timestamp, 1696844137736920
Linux-x86_64, native, basicmath, starting, timestamp, 1696844137737963
Linux-x86_64, native, basicmath, main, timestamp, 1696844137739243
Linux-x86_64, native, basicmath, start, timestamp, 1696844137739243
